s{[v]}	š
S{[V]}	Š
c{[']}	ć
C{[']}	Ć
s{[']}	ś
S{[']}	Ś
z{[']}	ź
Z{[']}	Ź
a{[v]}	ă
A{[V]}	Ă
e{[v]}	ě
E{[V]}	Ě
z{[v]}	ž
Z{[V]}	Ž
c{[v]}	č
C{[V]}	Č
r{[v]}	ř
R{[V]}	Ř
s{[,]}	ş
S{[,]}	Ş
o{[e]}	œ
O{[E]}	Œ
a{[-]}	ā
A{[-]}	Ā
o{[-]}	ō
u{[-]}	ū
U{[-]}	Ū
c{[@]}	ĉ
C{[@]}	Ĉ
O{[-]}	Ō
l{[/]}	ł
L{[/]}	Ł
o{['']}	ő
O{['']}	Ő
u{['']}	ű
U{['']}	Ű
z{[.]}	ż
Z{[.]}	Ż
Y{["]}	Ÿ
u{[v]}	ŭ
U{[V]}	Ŭ
[alpha]	α
[beta]	β
[gamma]	γ
[delta]	δ
[epsilon]	ε
[zeta]	ζ
[eta]	η
[theta]	θ
[iota]	ι
[kappa]	κ
[lambda]	λ
[mu]	μ
[nu]	ν
[xi]	ξ
[omikron]	ο
[pi]	π
[rho]	ρ
[stigma]	ς
[sigma]	σ
[tau]	τ
[ipsilon]	υ
[phi]	φ
[chi]	χ
[psi]	ψ
[omega]	ω
[ALPHA]	Α
[BETA]	Β
[GAMMA]	Γ
[DELTA]	Δ
[EPSILON]	Ε
[ZETA]	Ζ
[ETA]	Η
[THETA]	Θ
[IOTA]	Ι
[KAPPA]	Κ
[LAMBDA]	Λ
[MU]	Μ
[NU]	Ν
[XI]	Ξ
[OMIKRON]	Ο
[PI]	Π
[RHO]	Ρ
[SIGMA]	Σ
[TAU]	Τ
[IPSILON]	Υ
[PHI]	Φ
[CHI]	Χ
[PSI]	Ψ
[OMEGA]	Ω
O{[']}	Ó
O{[@]}	Ô
O{[`]}	Ò
o{[#]}	õ
O{[#]}	Õ
th{[th]}	þ
TH{[TH]}	Þ
U{[']}	Ú
U{[@]}	Û
U{[`]}	Ù
y{[']}	ý
Y{[']}	Ý
i{[-]}	ī
g{[.]}	ġ
e{[-]}	ē
E{[-]}	Ē
I{[-]}	Ī
G{[.]}	Ġ
d{[th]}	ð
